Vg_V,Id_Vd_0.05_uA_per_um,Id_Vd_1.2_uA_per_um
0.0,0.0004614523563958548,0.0011111557890765742
0.1,0.008428205750021437,0.020644456293674514
0.2,0.14513330631641352,0.3559026562369014
0.3,1.6926272182642002,4.0374833859785175
0.4,7.405187840053862,19.93495655152637
0.5,15.540535283585927,53.5571934924398
0.6,24.07847495368034,104.97270552071673
0.7,32.5161718224703,172.91095485058037
0.8,40.72471345465517,255.91756398136627
0.9,48.66634344858672,352.54589274547465
1.0,56.345373802348696,461.4023549981433
1.1,63.79142148874224,581.1573891730329
1.2,71.03996045084654,710.5084282425346
